route_id,agency_id,route_short_name,route_long_name,route_type
7495671,0,176,Trotro 176 : Circle → Bubiashie Control (Old Station ),3
7495720,0,177,Trotro 177 : Bubiashie-Atico → Circle,3
7495749,0,177,Trotro 177 : Circle → Bubiashie-Atico,3
7496940,0,56,Trotro 56 : Abeka Lapaz → Race Course,3
7496996,0,221,Trotro 221 : Circle Overhead → Madina,3
7496999,0,240,Trotro 240 : Dansoman → Nyamekye,3
7497041,0,221,Trotro 221 : Madina → Circle Overhead,3
7497095,0,222,Trotro 222 : Circle Overhead → Nima mamobi,3
7497115,0,222,Trotro 222 : Nima mamobi → Circle Overhead,3
7497295,0,225,Trotro 225 : Accra CMB → Fan-Milk,3
7497484,0,225,Trotro 225 : Fan-Milk → Accra CMB,3
7497752,0,235,Trotro 235 : Dansoman → Achimota,3
7497987,0,235,Trotro 235 : Achimota → Dansoman,3
7498111,0,238,Trotro 238 : Dansoman → Circle,3
7498214,0,238,Trotro 238 : Circle → Dansoman,3
7498362,0,241,Trotro 241 : Circle Overhead → Bawaleshie,3
7498573,0,241,Trotro 241 : Bawaleshie → Circle Overhead,3
7498817,0,251,Trotro 251 : Darkuman → Accra Post - Office,3
7499139,0,251,Trotro 251 : Accra Post - Office → Darkuman,3
7499245,0,306,Trotro 306 : Korle Bu → Darkuman,3
7499292,0,306,Trotro 306 : Darkuman → Korle Bu,3
7499451,0,116,Trotro 116 : Achimota → Tema,3
7499478,0,116,Trotro 116 : Tema → Achimota,3
7499756,0,337,Trotro 337 : Abeka Lapaz → Ashaiman,3
7499799,0,337,Trotro 337 : Ashaiman → Abeka Lapaz,3
7501558,0,64,Trotro 64 : Abossey-Okai → Kasoa,3
7501597,0,64,Trotro 64 : Kasoa → Abossey-Okai,3
7502108,0,373,Trotro 373 : Accra New Tema Station → Dzorwulu,3
7502371,0,373,Trotro 373 : Dzorwulu → Accra New Tema Station,3
7502705,0,425,Trotro 425 : Circle Odorna → Nungua,3
7516584,0,266,Trotro 266 : Afropa → Kaneshie,3
7516796,0,272,Trotro 272 : Good Shepherd → Kaneshie,3
7517050,0,9,Trotro 9 : Abeka Lapaz → Adeyman,3
7517271,0,9,Trotro 9 : Adeyman → Abeka Lapaz,3
7517381,0,29,Trotro 29 : Abeka Main Market → Kaneshie,3
7517511,0,29,Trotro 29 : Kaneshie → Abeka Main Market,3
7517635,0,36,Trotro 36 : Abeka Lapaz → Agbogbloshie,3
7517718,0,36,Trotro 36 : Agbogbloshie → Abeka Lapaz,3
7518611,0,38,Trotro 38 : Abeka Lapaz → Amasaman,3
7518920,0,40,Trotro 40 : Abeka Lapaz → Ashiaman,3
7518969,0,40,Trotro 40 : Ashiaman → Abeka Lapaz,3
7519008,0,82,Trotro 82 : Achimota → Adjiringanor,3
7519055,0,82,Trotro 82 : Adjiringanor → Achimota,3
7541588,0,85,Trotro 85 : Achimota → Akweteman Zongo,3
7541688,0,85,Trotro 85 : Akweteman Zongo → Achimota,3
7541816,0,104,Trotro 104 : Achimota → Mayera/Adusa,3
7541864,0,104,Trotro 104 : Mayera/Adusa → Achimota,3
7541922,0,105,Trotro 105 : Achimota → Medie/Kotoku,3
7541947,0,105,Trotro 105 : Medie/Kotoku → Achimota,3
7541972,0,117,Trotro 117 : Achimota → Accra New Tema Station,3
7542012,0,117,Trotro 117 : Accra New Tema Station → Achimota,3
7542086,0,118,Trotro 118 : Achimota → Teshie-Nungua,3
7542139,0,118,Trotro 118 : Teshie-Nungua → Achimota,3
